Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
IR0013_R2	18.005170372051893	48.0	150.0	0.0	15097517.0
IR0015_R1	20.90857012248125	49.0	150.0	0.0	13992874.0
IR0015_R2	18.283673139069663	49.0	150.0	0.0	13992874.0
IR0083_R1	17.717637187307943	49.0	150.0	0.0	11442190.0
IR0083_R2	15.611529174863165	49.0	150.0	0.0	11442190.0
IR0084_R1	21.657739935073124	48.0	150.0	0.0	17479082.0
IR0084_R2	19.62374810853838	48.0	150.0	0.0	17479082.0
IR0088_R1	27.22559241674287	48.0	150.0	0.0	17848961.0
IR0088_R2	24.213236076577758	48.0	150.0	0.0	17848961.0
IR0095_R1	22.802032498697656	48.0	150.0	0.0	15763533.0
IR0095_R2	20.66732723091569	48.0	150.0	0.0	15763533.0
IT0010_R1	24.542471397747036	50.0	150.0	0.0	16778871.0
IT0010_R2	21.32985171216238	50.0	150.0	0.0	16778871.0
JP0091_R1	20.159038577034693	50.0	150.0	0.0	14264726.0
JP0091_R2	17.995067005454445	50.0	150.0	0.0	14264726.0
LpKY-97-1_R1	19.180038674563605	49.0	173.8978812656664	9.090909090909092	5633080.0
LpKY-97-1_R2	18.851935201903416	49.0	174.84689352893977	9.090909090909092	5633080.0
ML0060_R1	20.362276582648676	50.0	150.0	0.0	13678921.0
ML0060_R2	18.668724464607166	51.0	150.0	0.0	13678921.0
ML0062_R1	22.132670709086653	50.0	151.0	0.0	8976477.0
ML0062_R2	19.563482262541925	50.0	151.0	0.0	8976477.0
ML33_R1	24.962655486832148	50.0	226.44200147789877	9.090909090909092	3553694.0
ML33_R2	23.508859698708548	50.0	227.3346360153688	9.090909090909092	3553694.0
NG0012_R1	20.107201957134663	50.0	151.0	0.0	7106748.0
NG0012_R2	17.771060250483444	50.0	151.0	0.0	7106748.0
NG0054_R1	20.756767104574863	50.0	151.0	0.0	9342286.0
NG0054_R2	17.918042064715166	50.0	151.0	0.0	9342286.0
NP0058_R1	23.545782683362518	50.0	151.0	0.0	12773549.0
NP0058_R2	19.863343367440493	50.0	151.0	0.0	12773549.0
P28_R1	11.575803268870231	50.0	300.0	9.090909090909092	8979346.0
P28_R2	10.474886484929641	51.0	300.0	18.181818181818183	8979346.0
P29_R1	12.282256932192425	50.0	300.0	9.090909090909092	9335380.0
P29_R2	12.282256932192425	50.0	300.0	9.090909090909092	9335380.0
P3_R1	15.227303394569816	50.0	300.0	18.181818181818183	16130764.0
P3_R2	12.361463582387572	50.0	300.0	36.36363636363637	16130764.0
PH42_R1	4.673104223223305	48.0	247.50612513107734	0.0	1302666.0
PH42_R2	4.382639944307655	49.0	247.576364163953	0.0	1302666.0
PL2-1_R1	22.47559929844776	49.0	228.00548738769024	10.0	5402024.0
PL2-1_R2	20.53101360828026	50.0	228.37181859984332	10.0	5402024.0
Pg1213-22_R1	16.805860833486392	50.0	195.85103027055607	9.090909090909092	3941586.0
Pg1213-22_R2	15.83338253939715	50.0	197.51410295246635	18.181818181818183	3941586.0
PgKY4OV2-1_R1	11.88651691519307	51.0	99.2206833421141	0.0	16131861.0
