Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Bm88324_R2	Bm88324_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3347837.0	0.0	35-251	50.0	84.22339245118818	247.88368250903494	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
Br7_R1	Br7_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5667971.0	0.0	35-300	49.0	83.15495732647568	167.24045130082706	pass	warn	warn	pass	fail	warn	pass	warn	pass	pass	pass
Br7_R2	Br7_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5667971.0	0.0	35-300	49.0	84.86297317428378	172.81226138948136	pass	fail	fail	pass	fail	warn	warn	warn	pass	pass	pass
Br80_R1	Br80_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5898770.0	0.0	35-300	49.0	79.68835577609124	255.55555344588788	pass	warn	warn	pass	fail	warn	pass	warn	pass	pass	pass
Br80_R2	Br80_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5898770.0	0.0	35-300	49.0	82.60636777792388	261.23363480861263	pass	fail	fail	pass	fail	warn	warn	warn	pass	pass	pass
CD0065_R1	CD0065_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9942599.0	0.0	151.0	50.0	76.4275966770144	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
CD0065_R2	CD0065_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9942599.0	0.0	151.0	50.0	79.67129886422	151.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	warn	pass
CD0142_R1	CD0142_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13576930.0	0.0	151.0	50.0	76.27780337685101	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
CD0142_R2	CD0142_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13576930.0	0.0	151.0	50.0	78.73984469456958	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
CH0043_R1	CH0043_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14352311.0	0.0	151.0	50.0	76.45959172869816	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
CH0043_R2	CH0043_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14352311.0	0.0	151.0	50.0	79.4381958838789	151.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	warn	pass
CH0072_R1	CH0072_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10607740.0	0.0	151.0	50.0	78.73041071646666	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
CH0072_R2	CH0072_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10607740.0	0.0	151.0	50.0	81.19331136301909	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
CH0452_R1	CH0452_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8063851.0	0.0	151.0	50.0	81.60975931519444	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
CH0452_R2	CH0452_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8063851.0	0.0	151.0	50.0	83.45423592251302	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
CH0461_R1	CH0461_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13548398.0	0.0	151.0	50.0	76.87260099290737	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
CH0461_R2	CH0461_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13548398.0	0.0	151.0	50.0	80.41218812323343	151.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	pass	pass
CH0533_R1	CH0533_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8374023.0	0.0	151.0	50.0	79.64024526988952	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
CH0533_R2	CH0533_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8374023.0	0.0	151.0	50.0	81.91375714307931	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
CH1103_R1	CH1103_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7554411.0	0.0	151.0	50.0	79.77651545509772	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
CH1103_R2	CH1103_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7554411.0	0.0	151.0	50.0	82.27546682502691	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
CH1164_R1	CH1164_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6329227.0	0.0	151.0	50.0	82.31381083533637	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
CH1164_R2	CH1164_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6329227.0	0.0	151.0	50.0	84.43759192195029	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
CHRF_R1	CHRF_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2980447.0	0.0	35-300	49.0	83.15423241960964	265.6778181259388	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
CHRF_R2	CHRF_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5133968.0	0.0	35-300	49.0	81.49628194271133	270.3326343288466	pass	fail		pass	fail	warn	warn	warn	pass	pass	pass
CHW_R1	CHW_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2980536.0	0.0	35-300	49.0	83.70084508071905	270.6615642287159	pass	warn	warn	pass	fail	warn	pass	warn	pass	pass	pass
CHW_R2	CHW_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2980536.0	0.0	35-300	50.0	86.91412499480893	274.20423977432245	pass	fail	fail	pass	fail	warn	warn	warn	pass	pass	pass
CM0028_R1	CM0028_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19691203.0	0.0	150.0	50.0	74.75974243041483	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
CM0028_R2	CM0028_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19691203.0	0.0	150.0	50.0	78.12515142944032	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
FR1067_R1	FR1067_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15180583.0	0.0	150.0	48.0	79.64619157505169	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
FR1067_R2	FR1067_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15180583.0	0.0	150.0	48.0	81.87833970648974	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
FR1069_R1	FR1069_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17308299.0	0.0	150.0	48.0	79.16954337857514	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
FR1069_R2	FR1069_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17308299.0	0.0	150.0	48.0	81.71298716587025	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
G17_R1	G17_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4689284.0	0.0	35-251	49.0	80.10906033201553	246.35885222562763	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
G17_R2	G17_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4689284.0	0.0	35-251	49.0	83.68338973022216	246.5251025529697	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
G22_R1	G22_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4562099.0	0.0	35-251	49.0	79.60806782284976	194.62702080774662	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
G22_R2	G22_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4562099.0	0.0	35-251	49.0	80.39210173278241	195.31580485210864	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
GFSI1-7-2_R1	GFSI1-7-2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30360775.0	0.0	75.0	46.0	71.7226915653208	75.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
GFSI1-7-2_R2	GFSI1-7-2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30360775.0	0.0	75.0	47.0	72.63526641057007	75.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
GG11_R1	GG11_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000000.0	0.0	35-251	49.0	90.29405791304085	225.153896	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
GG11_R2	GG11_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000000.0	0.0	35-251	49.0	91.9197269934277	225.516903	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
GN0001_R1	GN0001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12269860.0	0.0	150.0	49.0	82.31526859512684	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
GN0001_R2	GN0001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12269860.0	0.0	150.0	49.0	83.9931821821356	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
GY0040_R1	GY0040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10306131.0	0.0	150.0	50.0	78.49118559734167	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
GY0040_R2	GY0040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10306131.0	0.0	150.0	50.0	80.71591534676554	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
HO_R1	HO_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5917276.0	0.0	35-251	50.0	78.39325076554621	206.4229963246602	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
HO_R2	HO_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5917276.0	0.0	35-251	50.0	82.32729668640647	207.34330239116784	pass	fail	pass	pass	fail	warn	pass	warn	pass	pass	pass
IA1_R1	IA1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3112485.0	0.0	35-251	50.0	81.12478671982817	234.7860343102055	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IA1_R2	IA1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3112485.0	0.0	35-251	50.0	83.92809389579004	235.06466537188132	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IB33_R1	IB33_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1487370.0	0.0	35-251	49.0	82.38484271083834	246.71252277509967	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IB33_R2	IB33_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1487370.0	0.0	35-251	50.0	85.07833897111709	247.08141014004585	pass	fail	pass	pass	fail	warn	pass	warn	pass	pass	pass
IB49_R1	IB49_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5253545.0	0.0	35-251	49.0	75.43432501294812	199.47887112416473	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IB49_R2	IB49_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5253545.0	0.0	35-251	49.0	77.68104916279411	200.24881046988273	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
IC17_R1	IC17_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3350676.0	0.0	35-251	49.0	80.43000300205384	211.777853483894	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IC17_R2	IC17_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3350676.0	0.0	35-251	50.0	82.20286490707224	212.01877471889256	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IE1K_R1	IE1K_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7756207.0	0.0	35-251	50.0	69.1940064838168	239.1538713445889	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
IN0017_R1	IN0017_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6632096.0	0.0	151.0	49.0	79.09366441163925	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IN0017_R2	IN0017_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6632096.0	0.0	151.0	49.0	82.23476952240314	151.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	pass	pass
IN0054_R1	IN0054_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12337576.0	0.0	151.0	50.0	76.67186497639534	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IN0054_R2	IN0054_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12337576.0	0.0	151.0	50.0	79.34606770653365	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
IN0059_R1	IN0059_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5550111.0	0.0	151.0	49.0	80.39624489700446	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
IN0059_R2	IN0059_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5550111.0	0.0	151.0	49.0	82.7860631860692	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
